date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:45	14415/14415	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:46%20GMT	https://www.algostructure.com/sorting/quicksort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/quicksort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:46	14263/14263	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:47%20GMT	https://www.algostructure.com/sorting/radixsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/radixsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:46	13901/13901	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:47%20GMT	https://www.algostructure.com/sorting/selectionsort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/selectionsort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:47	13902/13902	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:48%20GMT	https://www.algostructure.com/sorting/stoogesort.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/stoogesort.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:47	13606/13606	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2016:34:48%20GMT	https://www.algostructure.com/sorting/index.php	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/sorting/index.html	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:47	8130/8130	---M--	200	added ('OK')	text/javascript	etag:%221fc2-5be483af461a3%22	https://www.algostructure.com/Scripts/Sorting/shellScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/shellScript.js	(from https://www.algostructure.com/sorting/shellsort.php)
23:34:48	6851/6851	---M--	200	added ('OK')	text/javascript	etag:%221ac3-5be483af66548%22	https://www.algostructure.com/Scripts/Sorting/bubbleScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/bubbleScript.js	(from https://www.algostructure.com/sorting/bubblesort.php)
23:34:48	5098/5098	---M--	200	added ('OK')	text/javascript	etag:%2213ea-5be483af24e5f%22	https://www.algostructure.com/Scripts/Sorting/bogoScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/bogoScript.js	(from https://www.algostructure.com/sorting/bogosort.php)
23:34:48	7723/7723	---M--	200	added ('OK')	text/javascript	etag:%221e2b-5be483af54c06%22	https://www.algostructure.com/Scripts/Sorting/bucketScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/bucketScript.js	(from https://www.algostructure.com/sorting/bucketsort.php)
23:34:49	7795/7795	---M--	200	added ('OK')	text/javascript	etag:%221e73-5be483af5e847%22	https://www.algostructure.com/Scripts/Sorting/cocktailScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/cocktailScript.js	(from https://www.algostructure.com/sorting/cocktailsort.php)
23:34:49	7956/7956	---M--	200	added ('OK')	text/javascript	etag:%221f14-5be483af4cf04%22	https://www.algostructure.com/Scripts/Sorting/combScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/combScript.js	(from https://www.algostructure.com/sorting/combsort.php)
23:34:49	9366/9366	---M--	200	added ('OK')	text/javascript	etag:%222496-5be483af78e2b%22	https://www.algostructure.com/Scripts/Sorting/cycleScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/cycleScript.js	(from https://www.algostructure.com/sorting/cyclesort.php)
23:34:50	6895/6895	---M--	200	added ('OK')	text/javascript	etag:%221aef-5be483af2cb60%22	https://www.algostructure.com/Scripts/Sorting/gnomeScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/gnomeScript.js	(from https://www.algostructure.com/sorting/gnomesort.php)
23:34:50	11202/11202	---M--	200	added ('OK')	text/javascript	etag:%222bc2-5be483af1e0fe%22	https://www.algostructure.com/Scripts/Sorting/heapScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/heapScript.js	(from https://www.algostructure.com/sorting/heapsort.php)
23:34:51	7462/7462	---M--	200	added ('OK')	text/javascript	etag:%221d26-5be483af34861%22	https://www.algostructure.com/Scripts/Sorting/insertionScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/insertionScript.js	(from https://www.algostructure.com/sorting/insertionsort.php)
23:34:51	10446/10446	---M--	200	added ('OK')	text/javascript	etag:%2228ce-5be483af6d2a9%22	https://www.algostructure.com/Scripts/Sorting/mergeScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/mergeScript.js	(from https://www.algostructure.com/sorting/mergesort.php)
23:34:51	7711/7711	---M--	200	added ('OK')	text/javascript	etag:%221e1f-5be483af7fb8c%22	https://www.algostructure.com/Scripts/Sorting/oddevenScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/oddevenScript.js	(from https://www.algostructure.com/sorting/oddevensort.php)
23:34:51	9210/9210	---M--	200	added ('OK')	text/javascript	etag:%2223fa-5be483af3b5c2%22	https://www.algostructure.com/Scripts/Sorting/quickScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/quickScript.js	(from https://www.algostructure.com/sorting/quicksort.php)
23:34:52	7843/7843	---M--	200	added ('OK')	text/javascript	etag:%221ea3-5be483af8a76d%22	https://www.algostructure.com/Scripts/Sorting/radixScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/radixScript.js	(from https://www.algostructure.com/sorting/radixsort.php)
23:34:52	7644/7644	---M--	200	added ('OK')	text/javascript	etag:%221ddc-5be483af0a87b%22	https://www.algostructure.com/Scripts/Sorting/selectionScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/selectionScript.js	(from https://www.algostructure.com/sorting/selectionsort.php)
23:34:52	7375/7375	---M--	200	added ('OK')	text/javascript	etag:%221ccf-5be483af914ce%22	https://www.algostructure.com/Scripts/Sorting/stoogeScript.js	D:/node_js/sort/sortAnimation/sortAnimation/www.algostructure.com/Scripts/Sorting/stoogeScript.js	(from https://www.algostructure.com/sorting/stoogesort.php)
